team1,team2,innings1_overs,innings1_wickets,innings1_runs,innings2_overs,innings2_wickets,innings2_runs,year
NEW ZEALAND,PAKISTAN,38.3,10,187,33.3,10,165,1973
ENGLAND,PAKISTAN,50,4,244,42.5,3,246,1974
ENGLAND,PAKISTAN,35,9,81,18,2,84,1974
AUSTRALIA,PAKISTAN,60,7,278,53,10,205,1975
PAKISTAN,SRI LANKA,60,6,330,50.1,10,138,1975
PAKISTAN,WEST INDIES,60,7,266,59.4,9,267,1975
NEW ZEALAND,PAKISTAN,35,8,198,35,9,197,1976
PAKISTAN,WEST INDIES,45,7,176,43.2,6,182,1977
PAKISTAN,ENGLAND,33.7,10,151,32.7,4,152,1977
PAKISTAN,ENGLAND,35,6,208,35,7,212,1977
ENGLAND,PAKISTAN,55,6,248,55,8,154,1978
ENGLAND,PAKISTAN,55,7,217,47,10,85,1978
INDIA,PAKISTAN,40,7,170,40,8,166,1978
INDIA,PAKISTAN,34.2,10,79,16.5,2,83,1978
PAKISTAN,ENGLAND,35,6,158,31.6,10,122,1978
PAKISTAN,INDIA,40,7,205,37.4,2,183,1978
CANADA,PAKISTAN,60,9,139,40.1,2,140,1979
ENGLAND,PAKISTAN,60,9,165,56,10,151,1979
WEST INDIES,PAKISTAN,60,6,293,56.2,10,250,1979
PAKISTAN,AUSTRALIA,60,7,286,57.1,10,197,1979
WEST INDIES,PAKISTAN,40,8,170,40,6,163,1980
PAKISTAN,WEST INDIES,40,4,200,35.3,3,201,1980
PAKISTAN,WEST INDIES,40,9,127,40,6,128,1980
AUSTRALIA,PAKISTAN,48.3,10,208,50,8,170,1981
AUSTRALIA,PAKISTAN,50,6,222,43.2,4,223,1981
AUSTRALIA,PAKISTAN,50,9,209,49.2,6,210,1981
WEST INDIES,PAKISTAN,50,8,245,50,6,227,1981
PAKISTAN,WEST INDIES,49,10,140,38.5,10,132,1981
PAKISTAN,WEST INDIES,44.4,9,160,42.2,3,161,1981
AUSTRALIA,PAKISTAN,50,5,230,40.3,9,154,1982
ENGLAND,PAKISTAN,55,8,295,49.4,10,222,1982
SRI LANKA,PAKISTAN,38.3,10,218,38.1,5,222,1982
SRI LANKA,PAKISTAN,33,3,171,29.2,2,174,1982
PAKISTAN,INDIA,40,4,224,40,6,210,1982
PAKISTAN,ENGLAND,55,6,250,47.1,3,252,1982
PAKISTAN,WEST INDIES,50,7,191,42.1,3,192,1982
PAKISTAN,SRI LANKA,40,4,239,33,4,227,1982
PAKISTAN,AUSTRALIA,50,6,218,49,10,193,1982
PAKISTAN,WEST INDIES,50,9,177,28.5,9,107,1982
PAKISTAN,AUSTRALIA,40,6,229,40,9,170,1982
PAKISTAN,INDIA,40,2,263,40,7,226,1982
PAKISTAN,AUSTRALIA,40,3,234,40,4,206,1982
PAKISTAN,INDIA,33,3,252,27,4,193,1982
INDIA,PAKISTAN,40,6,197,35,2,198,1983
NEW ZEALAND,PAKISTAN,60,9,238,55.2,10,186,1983
PAKISTAN,WEST INDIES,60,8,184,48.4,2,188,1983
